"HouseholdBookID","ResidentID","Relationship"
"000000000","000000000000","householder"
"000000000","000000000001","wife"
"000000000","000000000002","offspring"
"000000001","000000000003","householder"
"000000002","000000000004","householder"
"000000002","000000000005","wife"
"000000002","000000000006","offspring"
"000000003","000000000007","householder"
"000000003","000000000008","offspring"
"000000004","000000000009","householder"
"000000005","000000000010","householder"
"000000006","000000000011","householder"
"000000006","000000000012","offspring"
"000000007","000000000013","householder"
"000000007","000000000014","offspring"
"000000007","000000000015","offspring"
"000000008","000000000016","householder"
"000000009","000000000017","householder"
"000000010","000000000018","householder"
"000000010","000000000019","offspring"
"000000010","000000000020","offspring"
"000000011","000000000021","householder"
"000000012","000000000022","householder"
"000000013","000000000023","householder"
"000000013","000000000024","wife"
"000000013","000000000025","offspring"
"000000014","000000000026","householder"
"000000014","000000000027","offspring"
"000000015","000000000028","householder"
"000000015","000000000029","wife"
"000000015","000000000030","offspring"
"000000016","000000000031","householder"
"000000017","000000000032","householder"
"000000017","000000000033","wife"
"000000017","000000000034","offspring"
"000000018","000000000035","householder"
"000000018","000000000036","offspring"
"000000019","000000000037","householder"
"000000020","000000000038","householder"
"000000021","000000000039","householder"
"000000022","000000000040","householder"
"000000022","000000000041","wife"
"000000022","000000000042","offspring"
"000000023","000000000043","householder"
"000000023","000000000044","wife"
"000000024","000000000045","householder"
"000000024","000000000046","offspring"
"000000024","000000000047","offspring"
"000000025","000000000048","householder"
"000000026","000000000049","householder"
"000000026","000000000050","wife"
"000000027","000000000051","householder"
"000000027","000000000052","offspring"
"000000028","000000000053","householder"
"000000028","000000000054","offspring"
"000000028","000000000055","offspring"
"000000029","000000000056","householder"
"000000029","000000000057","offspring"
"000000029","000000000058","offspring"
"000000030","000000000059","householder"
"000000030","000000000060","offspring"
"000000030","000000000061","offspring"
"000000031","000000000062","householder"
"000000031","000000000063","wife"
"000000032","000000000064","householder"
"000000032","000000000065","wife"
"000000032","000000000066","offspring"
"000000032","000000000067","offspring"
"000000033","000000000068","householder"
"000000034","000000000069","householder"
"000000035","000000000070","householder"
"000000036","000000000071","householder"
"000000037","000000000072","householder"
"000000038","000000000073","householder"
"000000038","000000000074","offspring"
"000000039","000000000075","householder"
"000000040","000000000076","householder"
"000000041","000000000077","householder"
"000000041","000000000078","wife"
"000000041","000000000079","offspring"
"000000042","000000000080","householder"
"000000042","000000000081","wife"
"000000042","000000000082","offspring"
"000000043","000000000083","householder"
"000000044","000000000084","householder"
"000000045","000000000085","householder"
"000000045","000000000086","offspring"
"000000046","000000000087","householder"
"000000047","000000000088","householder"
"000000047","000000000089","offspring"
"000000047","000000000090","offspring"
"000000048","000000000091","householder"
"000000049","000000000092","householder"
"000000050","000000000093","householder"
"000000051","000000000094","householder"
"000000051","000000000095","offspring"
"000000052","000000000096","householder"
"000000053","000000000097","householder"
"000000054","000000000098","householder"
"000000055","000000000099","householder"
"000000055","000000000100","wife"
"000000056","000000000101","householder"
"000000057","000000000102","householder"
"000000058","000000000103","householder"
"000000059","000000000104","householder"
"000000059","000000000105","offspring"
"000000059","000000000106","offspring"
"000000060","000000000107","householder"
"000000060","000000000108","offspring"
"000000060","000000000109","offspring"
"000000061","000000000110","householder"
"000000062","000000000111","householder"
"000000063","000000000112","householder"
"000000064","000000000113","householder"
"000000065","000000000114","householder"
"000000065","000000000115","offspring"
"000000066","000000000116","householder"
"000000067","000000000117","householder"
"000000068","000000000118","householder"
"000000069","000000000119","householder"
"000000070","000000000120","householder"
"000000071","000000000121","householder"
"000000072","000000000122","householder"
"000000073","000000000123","householder"
"000000073","000000000124","wife"
"000000073","000000000125","offspring"
"000000074","000000000126","householder"
"000000074","000000000127","offspring"
"000000074","000000000128","offspring"
"000000075","000000000129","householder"
"000000076","000000000130","householder"
"000000077","000000000131","householder"
"000000078","000000000132","householder"
"000000079","000000000133","householder"
"000000080","000000000134","householder"
"000000081","000000000135","householder"
"000000082","000000000136","householder"
"000000082","000000000137","wife"
"000000083","000000000138","householder"
"000000083","000000000139","wife"
"000000083","000000000140","offspring"
"000000084","000000000141","householder"
"000000084","000000000142","wife"
"000000084","000000000143","offspring"
"000000085","000000000144","householder"
"000000086","000000000145","householder"
"000000086","000000000146","wife"
"000000086","000000000147","offspring"
"000000087","000000000148","householder"
"000000087","000000000149","offspring"
"000000087","000000000150","offspring"
"000000088","000000000151","householder"
"000000088","000000000152","offspring"
"000000089","000000000153","householder"
"000000089","000000000154","offspring"
"000000089","000000000155","offspring"
"000000090","000000000156","householder"
"000000091","000000000157","householder"
"000000092","000000000158","householder"
"000000093","000000000159","householder"
"000000093","000000000160","wife"
"000000094","000000000161","householder"
"000000095","000000000162","householder"
"000000096","000000000163","householder"
"000000096","000000000164","offspring"
"000000096","000000000165","offspring"
"000000097","000000000166","householder"
"000000097","000000000167","wife"
"000000097","000000000168","offspring"
"000000098","000000000169","householder"
"000000099","000000000170","householder"
"000000100","000000000171","householder"
"000000101","000000000172","householder"
"000000102","000000000173","householder"
"000000103","000000000174","householder"
"000000104","000000000175","householder"
"000000105","000000000176","householder"
"000000105","000000000177","wife"
"000000105","000000000178","offspring"
"000000106","000000000179","householder"
"000000106","000000000180","wife"
"000000106","000000000181","offspring"
"000000107","000000000182","householder"
"000000107","000000000183","wife"
"000000107","000000000184","offspring"
"000000108","000000000185","householder"
"000000109","000000000186","householder"
"000000109","000000000187","wife"
"000000109","000000000188","offspring"
"000000110","000000000189","householder"
"000000111","000000000190","householder"
"000000112","000000000191","householder"
"000000113","000000000192","householder"
"000000114","000000000193","householder"
"000000114","000000000194","offspring"
"000000114","000000000195","offspring"
"000000115","000000000196","householder"
"000000116","000000000197","householder"
"000000117","000000000198","householder"
"000000118","000000000199","householder"
"000000119","000000000200","householder"
"000000120","000000000201","householder"
"000000121","000000000202","householder"
"000000121","000000000203","wife"
"000000121","000000000204","offspring"
"000000122","000000000205","householder"
"000000123","000000000206","householder"
"000000124","000000000207","householder"
"000000125","000000000208","householder"
"000000126","000000000209","householder"
"000000127","000000000210","householder"
"000000128","000000000211","householder"
"000000128","000000000212","offspring"
"000000129","000000000213","householder"
"000000130","000000000214","householder"
"000000130","000000000215","wife"
"000000130","000000000216","offspring"
"000000131","000000000217","householder"
"000000132","000000000218","householder"
"000000133","000000000219","householder"
"000000133","000000000220","offspring"
"000000134","000000000221","householder"
"000000135","000000000222","householder"
"000000135","000000000223","wife"
"000000135","000000000224","offspring"
"000000136","000000000225","householder"
"000000137","000000000226","householder"
"000000137","000000000227","wife"
"000000138","000000000228","householder"
"000000138","000000000229","offspring"
"000000139","000000000230","householder"
"000000139","000000000231","wife"
"000000139","000000000232","offspring"
"000000139","000000000233","offspring"
"000000140","000000000234","householder"
"000000140","000000000235","wife"
"000000140","000000000236","offspring"
"000000141","000000000237","householder"
"000000142","000000000238","householder"
"000000143","000000000239","householder"
"000000144","000000000240","householder"
"000000144","000000000241","wife"
"000000144","000000000242","offspring"
"000000145","000000000243","householder"
"000000146","000000000244","householder"
"000000147","000000000245","householder"
"000000147","000000000246","wife"
"000000147","000000000247","offspring"
"000000148","000000000248","householder"
"000000148","000000000249","wife"
"000000148","000000000250","offspring"
"000000148","000000000251","offspring"
"000000149","000000000252","householder"
"000000150","000000000253","householder"
"000000151","000000000254","householder"
"000000152","000000000255","householder"
"000000152","000000000256","offspring"
"000000153","000000000257","householder"
"000000154","000000000258","householder"
"000000155","000000000259","householder"
"000000156","000000000260","householder"
"000000157","000000000261","householder"
"000000157","000000000262","wife"
"000000158","000000000263","householder"
"000000158","000000000264","offspring"
"000000158","000000000265","offspring"
"000000159","000000000266","householder"
"000000160","000000000267","householder"
"000000161","000000000268","householder"
"000000161","000000000269","wife"
"000000162","000000000270","householder"
"000000163","000000000271","householder"
"000000164","000000000272","householder"
"000000164","000000000273","wife"
"000000164","000000000274","offspring"
"000000164","000000000275","offspring"
"000000165","000000000276","householder"
"000000166","000000000277","householder"
"000000166","000000000278","wife"
"000000166","000000000279","offspring"
"000000167","000000000280","householder"
"000000167","000000000281","wife"
"000000168","000000000282","householder"
"000000168","000000000283","wife"
"000000168","000000000284","offspring"
"000000168","000000000285","offspring"
"000000169","000000000286","householder"
"000000169","000000000287","offspring"
"000000170","000000000288","householder"
"000000170","000000000289","offspring"
"000000171","000000000290","householder"
"000000171","000000000291","wife"
"000000171","000000000292","offspring"
"000000172","000000000293","householder"
"000000173","000000000294","householder"
"000000174","000000000295","householder"
"000000174","000000000296","wife"
"000000174","000000000297","offspring"
"000000175","000000000298","householder"
"000000175","000000000299","wife"
"000000175","000000000300","offspring"
"000000176","000000000301","householder"
"000000177","000000000302","householder"
